Variable,Lead_Time,Error_Type,Min,Max,Mean,Median,IQR,RMSE
GHI,1,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,2,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,3,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,4,Raw,-40.3,42.8,0.9137444708387943,0.0,0.0,
GHI,5,Raw,-209.0,189.9,-0.48084936107470516,0.0,4.1,
GHI,6,Raw,-373.5,382.9,-6.264181684141547,0.0,8.699999999999989,
GHI,7,Raw,-551.2,560.1999999999999,-16.919860132699867,2.0999999999999943,34.19999999999998,
GHI,8,Raw,-730.7,691.8,-27.884159977064222,0.40000000000009095,57.800000000000026,
GHI,9,Raw,-843.5,826.8,-41.05860317005243,-1.6000000000000227,83.19999999999993,
GHI,10,Raw,-951.0,922.0,-53.42571259810083,-3.800000000000068,108.19999999999993,
GHI,11,Raw,-993.0,950.0,-55.40585458826999,-5.0,118.10000000000002,
GHI,12,Raw,-959.0,942.0,-54.82089203800786,-7.0,123.0,
GHI,13,Raw,-927.0,889.0,-47.412200389594936,-8.0,110.5,
GHI,14,Raw,-844.0,792.0,-36.62716231159895,-8.0,85.60000000000001,
GHI,15,Raw,-717.0,681.0,-25.967661101819747,-7.7000000000000455,47.70000000000002,
GHI,16,Raw,-594.0,544.0,-15.269205483572923,-5.299999999999983,16.400000000000006,
GHI,17,Raw,-410.8,362.9,-7.922721576015727,0.0,8.899999999999991,
GHI,18,Raw,-258.59999999999997,214.29999999999998,-1.750853825136612,0.0,0.0,
GHI,19,Raw,-102.3,88.0,-0.11156180880822274,0.0,0.0,
GHI,20,Raw,-1.1,0.0,-5.285584179026802e-6,0.0,0.0,
GHI,21,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,22,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,23,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,24,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,25,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,26,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,27,Raw,0.0,0.0,0.0,0.0,0.0,
GHI,28,Raw,-43.800000000000004,46.900000000000006,0.9403771874186833,0.0,0.0,
GHI,29,Raw,-219.0,206.0,0.33647579609029404,0.0,2.9,
GHI,30,Raw,-397.2,388.0,-2.9240329413869373,0.0,10.800000000000011,
GHI,31,Raw,-575.2,572.0,-10.681932653525893,0.5,35.900000000000034,
GHI,32,Raw,-736.5,743.9,-17.76338472547489,-0.6999999999999318,65.80000000000001,
GHI,33,Raw,-855.1999999999999,859.3,-26.45365152550091,-2.0,92.39999999999998,
GHI,34,Raw,-964.0,938.0,-32.84470783411804,-3.0,116.00000000000003,
GHI,35,Raw,-979.0,955.0,-33.41186970438093,-4.149999999999977,126.19999999999996,
GHI,36,Raw,-974.0,946.0,-31.584116819542025,-6.0,127.10000000000002,
GHI,37,Raw,-947.0,922.0,-26.1831730079853,-7.0,117.0,
GHI,38,Raw,-860.0,842.0,-20.40033209782234,-7.800000000000011,90.4,
GHI,39,Raw,-728.0,694.0,-16.062996673287063,-8.0,50.19999999999999,
GHI,40,Raw,-587.0,600.4,-11.614483215913571,-4.900000000000002,17.5,
GHI,41,Raw,-442.40000000000003,385.3,-6.843423106947697,0.0,9.7,
GHI,42,Raw,-248.8,240.2,-1.7019868524332809,0.0,0.0,
GHI,43,Raw,-89.7,81.10000000000001,-0.1078712729357798,0.0,0.0,
